original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
0,['1996-09-01'],['l'],['2021-11-02'],['tamansari'],['smk'],['teknik mesin'],['2015.0'],[],['rp 2.500.001 - rp 5.000.000'],['apasaja'],['di dalam negeri'],['tasikmalaya'],['25'],['lain-lain'],['tasikmalaya'],[]
1,['2003-04-08'],['p'],['2021-11-02'],['cihideung'],['sma / lainnya'],['ips'],['2021.0'],['ms office'],['rp 1.000.001 - rp 2.500.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['18'],['lain-lain'],['tasikmalaya'],['microsoft office']
2,['1999-09-01'],['p'],['2021-11-02'],['cibeureum'],['d.iii'],['keperawatan'],['2021.0'],[],['rp 2.500.001 - rp 5.000.000'],['perawat'],['di dalam negeri'],['jawa barat'],['22'],['perawat'],['jawa barat'],[]
3,['1979-11-15'],['p'],['2021-11-03'],['cibeureum'],['smk'],['sekertaris'],['1997.0'],['memasak'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['jawa barat'],['41'],['pekerja umum'],['jawa barat'],['memasak']
4,['1999-09-16'],['p'],['2021-11-03'],['cibeureum'],['d.iii'],['d3 keperawatan'],['2021.0'],['himpunan mahasiswa d3 keperawatan'],['rp 2.500.001 - rp 5.000.000'],['kepala rumah sakit'],['di dalam negeri'],['tasikmalaya'],['22'],['manajemen/direksi'],['tasikmalaya'],['keperawatan']
5,['2002-12-04'],['p'],['2021-11-03'],['mangkubumi'],['sma / lainnya'],['ips'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['pembisnis'],['di dalam negeri'],['tasikmalaya'],['18'],['bisnis/wirausaha'],['tasikmalaya'],['olahraga']
6,['1999-04-13'],['l'],['2021-11-03'],['cihideung'],['d.iv'],['teknik elektro'],['2021.0'],['sepakbola'],['rp 5.000.001 - rp 10.000.000'],['production enginerring'],['di dalam negeri'],['karawang bekasi cikarang'],['22'],['produksi/operasional'],"['bekasi', 'cikarang', 'karawang']",['sepak bola']
7,['1999-04-10'],['p'],['2021-11-03'],['cihideung'],['s1'],['manajemen'],['2021.0'],['olahraga'],['rp 5.000.001 - rp 10.000.000'],['akuntan  staff admin'],['di dalam negeri'],['bandung karawang bekasi'],['22'],['administrasi/staf umum'],"['bandung', 'bekasi', 'karawang']",['olahraga']
8,['1997-04-18'],['l'],['2021-11-03'],['mangkubumi'],['smk'],['otomotif'],['2017.0'],['olahraga calistenic'],['rp 2.500.001 - rp 5.000.000'],['administrasi'],['di dalam negeri'],['tasikmalaya'],['24'],['administrasi/staf umum'],['tasikmalaya'],['olahraga']
9,['2002-07-18'],['l'],['2021-11-03'],['bungursari'],['sma / lainnya'],['ips'],['2021.0'],['berenang'],['0 - rp 1.000.000'],['karyawan tetap'],['di dalam negeri'],['jakarta'],['19'],['pekerja umum'],['jakarta'],['renang']
10,['2001-12-21'],['l'],['2021-11-03'],['mangkubumi'],['smk'],['tkr otomotif'],['2021.0'],['automotif olahraga'],['rp 5.000.001 - rp 10.000.000'],['karyawan'],['di dalam negeri'],['bekasi'],['19'],['pekerja umum'],['bekasi'],"['olahraga', 'otomotif']"
11,['2000-04-12'],['l'],['2021-11-03'],['cipedes'],['sma / lainnya'],['ipa'],['2019.0'],['futsal'],['rp 5.000.001 - rp 10.000.000'],['pns'],['di dalam negeri'],['tasikmalaya'],['21'],['pelayanan publik/pemerintahan'],['tasikmalaya'],['futsal']
12,['1999-02-13'],['p'],['2021-11-03'],['cibeureum'],['sma / lainnya'],['ips'],['2017.0'],['bernyanyi'],['0 - rp 1.000.000'],['helper packaging'],['di dalam negeri'],['bandung'],['22'],['logistik/gudang'],['bandung'],['menyanyi']
13,['2003-04-05'],['p'],['2021-11-04'],['cipedes'],['sma / lainnya'],['ipa'],['2021.0'],['editing'],['rp 2.500.001 - rp 5.000.000'],['pegawai'],['di dalam negeri'],['bandung'],['18'],['pekerja umum'],['bandung'],['editing']
14,['2000-10-03'],['l'],['2021-11-04'],['indihiang'],['smk'],['mesin produksi'],['2019.0'],['basket dan musik'],['0 - rp 1.000.000'],['maneger'],['di luar negeri'],['dimana saja'],['21'],['manajemen/direksi'],['lokasi tidak spesifik'],"['basket', 'musik']"
15,['2002-04-01'],['p'],['2021-11-04'],['cihideung'],['sma / lainnya'],['ilmu pengetahuan sosial'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['kabupaten karawang barat'],['19'],['produksi/operasional'],['karawang'],['olahraga']
16,['1996-02-09'],['l'],['2021-11-04'],['tamansari'],['s1'],['pendidikan ilmu komputer'],['2021.0'],['catur'],['rp 5.000.001 - rp 10.000.000'],['pendidikguru customer service administrasi programmer sistem manajemen informasi keamanan jaringan'],['di dalam negeri'],['jawa barat'],['25'],['administrasi/staf umum'],['jawa barat'],['catur']
17,['1992-03-01'],['l'],['2021-11-04'],['purbaratu'],['smk'],['teknik kendaraan ringan'],['2011.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['staff teknisimaintenance'],['di dalam negeri'],['jawa barat'],['29'],['staff'],['jawa barat'],['olahraga']
18,['2002-08-24'],['p'],['2021-11-04'],['kawalu'],['smk'],['farmasi industri'],['2021.0'],['microsoft word'],['rp 2.500.001 - rp 5.000.000'],['staff quality control staff quality assurance dan staff produksi'],['di dalam negeri'],['bandung karawang cikarang jakarta dan tanggerang'],['19'],['quality control/assurance'],"['bandung', 'cikarang', 'jakarta', 'karawang', 'tangerang']","['microsoft office', 'microsoft word']"
19,['1998-07-28'],['p'],['2021-11-04'],['cihideung'],['smk'],['tkj'],['2016.0'],['olahraga seni bela diri'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['cikarang'],['23'],['produksi/operasional'],['cikarang'],"['bela diri', 'olahraga', 'seni']"
20,['1999-12-23'],['l'],['2021-11-04'],['indihiang'],['d.iii'],['keperawatan'],['2021.0'],['basket'],['rp 1.000.001 - rp 2.500.000'],['perawat pelaksana'],['di dalam negeri'],['tasikmalaya'],['21'],['perawat'],['tasikmalaya'],['basket']
21,['1999-12-13'],['l'],['2021-11-04'],['cibeureum'],['d.iii'],['keperawatan'],['2021.0'],['keperawatan'],['rp 2.500.001 - rp 5.000.000'],['perawat pelaksana'],['di dalam negeri'],['tangerang'],['21'],['perawat'],['tangerang'],['keperawatan']
22,['2000-10-27'],['l'],['2021-11-04'],['mangkubumi'],['sma / lainnya'],['ipa'],['2018.0'],['olah raga'],['0 - rp 1.000.000'],['akutansi'],['di dalam negeri'],['tasikmalaya'],['21'],['keuangan/akuntansi/perbankan'],['tasikmalaya'],['olahraga']
23,['1996-12-16'],['l'],['2021-11-04'],['bungursari'],['smk'],['teknik kendaraan ringan'],['2015.0'],['membaca alat ukur  micro meter sigmat dll'],['rp 2.500.001 - rp 5.000.000'],['operator'],['di dalam negeri'],['bekasi'],['24'],['produksi/operasional'],['bekasi'],"['alat ukur teknik', 'membaca']"
24,['2003-09-17'],['l'],['2021-11-04'],['tamansari'],['smk'],['elektronika'],['2021.0'],['olahraga balap motor'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['bandung'],['18'],['pekerja umum'],['bandung'],['olahraga']
25,['2002-02-15'],['l'],['2021-11-05'],['indihiang'],['smk'],['teknik kendaraan ringan otomotif'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['19'],['pekerja umum'],['tasikmalaya'],['olahraga']
26,['2002-04-02'],['l'],['2021-11-05'],['tamansari'],['smk'],['kriya kulit dan imitasi'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['jawa barat'],['19'],['produksi/operasional'],['jawa barat'],['olahraga']
27,['1999-02-14'],['p'],['2021-11-05'],['mangkubumi'],['smk'],['akuntansi'],['2017.0'],['publik speaking olahraga mendaki manjat river tubing berbahasa inggris'],['rp 2.500.001 - rp 5.000.000'],['akuntan'],['di dalam negeri'],['jawa barat'],['22'],['keuangan/akuntansi/perbankan'],['jawa barat'],"['bahasa inggris', 'olahraga', 'public speaking']"
28,['2000-08-04'],['p'],['2021-11-05'],['cipedes'],['sma / lainnya'],['ips'],['2018.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['akuntan'],['di dalam negeri'],['tasikmalaya subang'],['21'],['keuangan/akuntansi/perbankan'],"['subang', 'tasikmalaya']",['olahraga']
29,['1999-10-25'],['l'],['2021-11-05'],['tawang'],['smk'],['teknik sepeda motor'],['2018.0'],['olarahraga'],['0 - rp 1.000.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['22'],['pekerja umum'],['tasikmalaya'],['olahraga']
30,['1999-01-15'],['p'],['2021-11-05'],['purbaratu'],['smk'],['teknik komputer dan jaringan'],['2018.0'],[],['rp 1.000.001 - rp 2.500.000'],['kasir'],['di dalam negeri'],['bandung'],['22'],['keuangan/akuntansi/perbankan'],['bandung'],[]
31,['2000-05-22'],['l'],['2021-11-05'],['tamansari'],['smk'],['otomotif'],['2019.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['karyawan swasta'],['di dalam negeri'],['kota tasikmalaya'],['21'],['pekerja umum'],['kota tasikmalaya'],['olahraga']
32,['2001-09-28'],['l'],['2021-11-08'],['purbaratu'],['smk'],['teknik sepeda motor'],['2021.0'],['olahraga futsal'],['rp 2.500.001 - rp 5.000.000'],['oprator'],['di dalam negeri'],['jawa barat'],['20'],['produksi/operasional'],['jawa barat'],"['futsal', 'olahraga']"
33,['2002-08-28'],['l'],['2021-11-05'],['tamansari'],['smk'],['teknik komputer dan jaringan'],['2021.0'],['public speaking'],['rp 5.000.001 - rp 10.000.000'],['produksi'],['di dalam negeri'],['majalengka'],['19'],['produksi/operasional'],['majalengka'],['public speaking']
34,['2002-09-22'],['p'],['2021-11-05'],['mangkubumi'],['sma / lainnya'],['ipa'],['2021.0'],[],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['cikarang'],['19'],['produksi/operasional'],['cikarang'],[]
35,['2000-12-30'],['p'],['2021-11-05'],['mangkubumi'],['sma / lainnya'],['ipa'],['2019.0'],[],['rp 2.500.001 - rp 5.000.000'],['produksi'],['di dalam negeri'],['cikarang'],['20'],['produksi/operasional'],['cikarang'],[]
36,['2002-10-26'],['p'],['2021-11-05'],['mangkubumi'],['sma / lainnya'],['mipa'],['2021.0'],['bahasa'],['rp 1.000.001 - rp 2.500.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['19'],['lain-lain'],['tasikmalaya'],['bahasa inggris']
37,['2001-07-02'],['p'],['2021-11-05'],['indihiang'],['sma / lainnya'],['ips'],['2019.0'],[],['rp 1.000.001 - rp 2.500.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['20'],['pekerja umum'],['tasikmalaya'],[]
38,['2000-05-22'],['p'],['2021-11-05'],['cibeureum'],['sma / lainnya'],['audio video'],['2019.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['operator mesin produksi'],['di dalam negeri'],['jawabarat'],['21'],['produksi/operasional'],['jawa barat'],['olahraga']
39,['2001-12-13'],['l'],['2021-11-05'],['tawang'],['smk'],['kriya kreatif kulit dan imitasi'],['2020.0'],['kriya'],['rp 1.000.001 - rp 2.500.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['19'],['lain-lain'],['tasikmalaya'],['kriya']
40,['2003-08-11'],['l'],['2021-11-08'],['tawang'],['smk'],['teknik listrik'],['2021.0'],['olahraga instalasi wordexcel'],['rp 5.000.001 - rp 10.000.000'],['manager leader operator production'],['di dalam negeri'],['tasikmalaya bekasi cikarang'],['18'],['produksi/operasional'],"['bekasi', 'cikarang', 'tasikmalaya']",['olahraga']
41,['2000-04-24'],['p'],['2021-11-08'],['kawalu'],['smk'],['farmasi'],['2019.0'],[],['rp 1.000.001 - rp 2.500.000'],['farmasi'],['di dalam negeri'],['tasikmalaya'],['21'],['tenaga kesehatan (umum)'],['tasikmalaya'],[]
42,['1989-07-06'],['p'],['2021-11-08'],['bungursari'],['s1'],['ilmu komunikasi'],['2012.0'],['public speaking'],['rp 5.000.001 - rp 10.000.000'],['hotel'],['di luar negeri'],['amerika'],['32'],['hotel/restoran'],['lokasi tidak spesifik'],['public speaking']
43,['2003-05-21'],['p'],['2021-11-08'],['purbaratu'],['smk'],['teknik komputer dan jaringan'],['2021.0'],[],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['luar kota'],['18'],['pekerja umum'],['lokasi tidak spesifik'],[]
44,['2002-08-16'],['p'],['2021-11-08'],['purbaratu'],['sma / lainnya'],['teknologi komputer jaringan'],['2021.0'],['badminton'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['luar kota'],['19'],['pekerja umum'],['lokasi tidak spesifik'],['badminton']
45,['1992-06-16'],['l'],['2021-11-09'],['indihiang'],['s1'],['ilmu politik'],['2018.0'],['basket sepak bola alat musik'],['> rp 10.000.000'],['sekretaria daerah'],['di dalam negeri'],['tasikmalaya'],['29'],['administrasi/staf umum'],['tasikmalaya'],"['alat ukur teknik', 'basket', 'musik', 'sepak bola']"
46,['1998-02-09'],['l'],['2021-11-08'],['cipedes'],['smk'],['tkr'],['2016.0'],['olahraga'],['rp 1.000.001 - rp 2.500.000'],['karyawan'],['di dalam negeri'],['cianjur'],['23'],['pekerja umum'],['cianjur'],['olahraga']
47,['1998-05-04'],['l'],['2021-11-08'],['bungursari'],['smk'],['tehnik kendaraan ringan'],['2016.0'],['olahraga  bermusik'],['rp 5.000.001 - rp 10.000.000'],['apa aja'],['di dalam negeri'],['tasikmalaya'],['23'],['lain-lain'],['tasikmalaya'],['olahraga']
48,['2002-06-12'],['p'],['2021-11-09'],['indihiang'],['sma / lainnya'],['ips'],['2021.0'],['singing'],['rp 1.000.001 - rp 2.500.000'],['akuntansi'],['di dalam negeri'],['tasikmalaya'],['19'],['keuangan/akuntansi/perbankan'],['tasikmalaya'],['menyanyi']
49,['1802-08-19'],['l'],['2021-11-09'],['purbaratu'],['d.iii'],['pariwisata dan perhotelan'],['2003.0'],[],['rp 5.000.001 - rp 10.000.000'],['abk'],['di dalam negeri'],['jabodetabek'],['219'],['lain-lain'],"['bekasi', 'bogor', 'depok', 'jakarta', 'tangerang']",[]
50,['1997-07-22'],['l'],['2021-11-09'],['cipedes'],['sma / lainnya'],['ipa'],['2016.0'],['olahraga'],['rp 1.000.001 - rp 2.500.000'],['guru'],['di dalam negeri'],['tasikmalaya'],['24'],['pendidikan'],['tasikmalaya'],['olahraga']
51,['1998-12-05'],['l'],['2021-11-09'],['kawalu'],['sma / lainnya'],['ipa'],['2017.0'],['olahraga'],['rp 1.000.001 - rp 2.500.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['22'],['pekerja umum'],['tasikmalaya'],['olahraga']
52,['1998-03-05'],['l'],['2021-11-09'],['cibeureum'],['s1'],['pendidikan biologi'],['2021.0'],['seni'],['rp 2.500.001 - rp 5.000.000'],['staff administrasi'],['di dalam negeri'],['bandung'],['23'],['administrasi/staf umum'],['bandung'],['seni']
53,['1998-05-23'],['p'],['2021-11-09'],['purbaratu'],['sma / lainnya'],['ips'],['2017.0'],['ms office'],['rp 1.000.001 - rp 2.500.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['23'],['lain-lain'],['tasikmalaya'],['microsoft office']
54,['2003-03-16'],['p'],['2021-11-10'],['tamansari'],['sma / lainnya'],['ipa'],['2021.0'],[],['0 - rp 1.000.000'],['karyawan swasta'],['di dalam negeri'],['kota tasikmalaya'],['18'],['pekerja umum'],['kota tasikmalaya'],[]
55,['2002-06-02'],['l'],['2021-11-10'],['kawalu'],['smk'],['mekatronika'],['2021.0'],['olahraga'],['0 - rp 1.000.000'],['operator produksi'],['di dalam negeri'],['indonesia'],['19'],['produksi/operasional'],['indonesia'],['olahraga']
56,['1992-02-05'],['l'],['2021-11-10'],['cibeureum'],['sma / lainnya'],['ips'],['2012.0'],['lari'],['0 - rp 1.000.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['29'],['pekerja umum'],['tasikmalaya'],[]
57,['2001-09-02'],['l'],['2021-11-10'],['cibeureum'],['sma / lainnya'],['ips'],['2020.0'],['olahraga'],['0 - rp 1.000.000'],['rider'],['di dalam negeri'],['tasikmalaya'],['20'],['transportasi'],['tasikmalaya'],['olahraga']
58,['2000-07-19'],['p'],['2021-11-10'],['tawang'],['smk'],['keperawatan'],['2019.0'],['menulis dan membaca'],['rp 1.000.001 - rp 2.500.000'],['helper gudang atau staff'],['di dalam negeri'],['tasikmalaya dan daerah wilayah jawa barat lainnya'],['21'],['logistik/gudang'],"['jawa barat', 'tasikmalaya']","['membaca', 'menulis']"
59,['1998-12-25'],['p'],['2021-11-10'],['bungursari'],['sma / lainnya'],['ips'],['2015.0'],['tata boga'],['rp 2.500.001 - rp 5.000.000'],['operator'],['di dalam negeri'],['cikarang'],['22'],['produksi/operasional'],['cikarang'],['memasak']
60,['2003-03-03'],['p'],['2021-11-10'],['bungursari'],['smk'],['administrasi perkantoran'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['administrasi'],['di dalam negeri'],['bekasi'],['18'],['administrasi/staf umum'],['bekasi'],['olahraga']
61,['2001-01-27'],['l'],['2021-11-10'],['cibeureum'],['smk'],['teknik kendaraan ringan otomotif'],['2020.0'],['olahraga'],['rp 5.000.001 - rp 10.000.000'],['manejer'],['di dalam negeri'],['dimana saja'],['20'],['manajemen/direksi'],['lokasi tidak spesifik'],['olahraga']
62,['2003-01-02'],['l'],['2021-11-10'],['purbaratu'],['smk'],['tkj'],['2021.0'],['sepak bola'],['rp 5.000.001 - rp 10.000.000'],['pengusaha'],['di dalam negeri'],['tasikmalaya'],['18'],['bisnis/wirausaha'],['tasikmalaya'],['sepak bola']
63,['1998-08-06'],['p'],['2021-11-11'],['tawang'],['d.iii'],['komputerisasi akuntansi'],['2020.0'],['komputer'],['rp 2.500.001 - rp 5.000.000'],['operator admin'],['di dalam negeri'],['dimana saja'],['23'],['administrasi/staf umum'],['lokasi tidak spesifik'],['komputer']
64,['2001-05-23'],['l'],['2021-11-11'],['indihiang'],['smk'],['permesinan'],['2019.0'],['futsal'],['rp 2.500.001 - rp 5.000.000'],['oprator produksi'],['di dalam negeri'],['karawang'],['20'],['produksi/operasional'],['karawang'],['futsal']
65,['2001-11-02'],['p'],['2021-11-11'],['cipedes'],['smp / lainnya'],['umum'],['2017.0'],['ms office'],['0 - rp 1.000.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['20'],['lain-lain'],['tasikmalaya'],['microsoft office']
66,['2002-05-05'],['l'],['2021-11-11'],['tawang'],['smk'],['administrasi perkantoran'],['2020.0'],['musik olahraga'],['rp 5.000.001 - rp 10.000.000'],['manager'],['di luar negeri'],['jepang'],['19'],['manajemen/direksi'],['lokasi tidak spesifik'],"['musik', 'olahraga']"
67,['1993-06-13'],['p'],['2021-11-12'],['mangkubumi'],['smk'],['teknik komputer dan informatika'],['2011.0'],['microsoft word'],['rp 1.000.001 - rp 2.500.000'],['pramuniaga'],['di dalam negeri'],['tasikmalaya'],['28'],['sales/marketing'],['tasikmalaya'],"['microsoft office', 'microsoft word']"
68,['1999-03-20'],['l'],['2021-11-12'],['indihiang'],['smk'],['teknik otomotif'],['2017.0'],['futsal'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tasikmalayabandung'],['22'],['pekerja umum'],"['bandung', 'tasikmalaya']",['futsal']
69,['1995-07-12'],['l'],['2021-11-12'],['indihiang'],['smk'],['teknik otomotif'],['2014.0'],['futsal'],['0 - rp 1.000.000'],['karyawan'],['di dalam negeri'],['tasikmalayabandung'],['26'],['pekerja umum'],"['bandung', 'tasikmalaya']",['futsal']
70,['2000-10-16'],['l'],['2021-11-12'],['cihideung'],['smk'],['otomotif'],['2019.0'],['futsal'],['rp 2.500.001 - rp 5.000.000'],['staf'],['di dalam negeri'],['bandung'],['21'],['administrasi/staf umum'],['bandung'],['futsal']
71,['2002-06-16'],['p'],['2021-11-12'],['tamansari'],['smk'],['kriya tekstil'],['2020.0'],['menjahit'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['19'],['pekerja umum'],['tasikmalaya'],['menjahit']
72,['1996-10-09'],['l'],['2021-11-12'],['mangkubumi'],['smk'],['teknik sepeda motor'],['2015.0'],['futsal voly'],['rp 5.000.001 - rp 10.000.000'],['leader'],['di dalam negeri'],['karawang'],['25'],['supervisor'],['karawang'],"['bola voli', 'futsal']"
73,['2000-03-30'],['p'],['2021-11-12'],['cibeureum'],['smk'],['farmasi'],['2018.0'],['farmasi'],['0 - rp 1.000.000'],['farmasi'],['di dalam negeri'],['tasikmalaya'],['21'],['tenaga kesehatan (umum)'],['tasikmalaya'],['farmasi']
74,['2001-01-14'],['l'],['2021-11-15'],['purbaratu'],['smk'],['teknik dan bisnis sepeda motor'],['2020.0'],['sepak bola'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['dimana saja'],['20'],['produksi/operasional'],['lokasi tidak spesifik'],['sepak bola']
75,['2001-06-10'],['p'],['2021-11-15'],['kawalu'],['smk'],['manajemen perkantoran'],['2021.0'],['sepak bola'],['rp 2.500.001 - rp 5.000.000'],['seketaris'],['di dalam negeri'],['garut'],['20'],['administrasi/staf umum'],['garut'],['sepak bola']
76,['1999-09-15'],['l'],['2021-11-15'],['cipedes'],['sma / lainnya'],['ipa'],['2018.0'],['olahraga'],['rp 5.000.001 - rp 10.000.000'],['guru'],['di dalam negeri'],['bokasi'],['22'],['pendidikan'],['lokasi tidak spesifik'],['olahraga']
77,['1996-11-26'],['p'],['2021-11-15'],['tawang'],['s1'],['manajemen'],['2019.0'],['komputer'],['rp 1.000.001 - rp 2.500.000'],['administrasi'],['di dalam negeri'],['tasikmalaya'],['24'],['administrasi/staf umum'],['tasikmalaya'],['komputer']
78,['1999-01-16'],['p'],['2021-11-15'],['cipedes'],['s1'],['akuntansi'],['2021.0'],['accountingms officespss minitabteamwork'],['rp 2.500.001 - rp 5.000.000'],['akuntan'],['di dalam negeri'],['tasikmalaya jakarta semarang'],['22'],['keuangan/akuntansi/perbankan'],"['jakarta', 'semarang', 'tasikmalaya']",[]
79,['2000-01-08'],['p'],['2021-11-15'],['mangkubumi'],['s1'],['farmasi'],['2021.0'],['asisten apoteker'],['rp 1.000.001 - rp 2.500.000'],['ttk'],['di dalam negeri'],['tasikmalaya'],['21'],['tenaga kesehatan (umum)'],['tasikmalaya'],['farmasi']
80,['1999-04-18'],['p'],['2021-11-15'],['kawalu'],['s1'],['farmasi'],['2021.0'],['ttk'],['rp 1.000.001 - rp 2.500.000'],['ttk'],['di dalam negeri'],['tasikmalaya'],['22'],['tenaga kesehatan (umum)'],['tasikmalaya'],[]
81,['1990-11-26'],['p'],['2021-11-16'],['cihideung'],['sma / lainnya'],['teknik mekanik otomotif'],['2010.0'],['mesin'],['rp 2.500.001 - rp 5.000.000'],['oprator mekanik'],['di dalam negeri'],['dimana saja'],['30'],['produksi/operasional'],['lokasi tidak spesifik'],['teknik mesin']
82,['2001-10-27'],['l'],['2021-11-16'],['kawalu'],['smk'],['teknik elektronika mekatronika'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['programmer'],['di dalam negeri'],['bandung jakarta karawang'],['20'],['it/software'],"['bandung', 'jakarta', 'karawang']",['olahraga']
83,['2002-02-09'],['l'],['2021-11-16'],['tawang'],['smk'],['dpk kayu'],['2020.0'],[],['rp 1.000.001 - rp 2.500.000'],['pegawai'],['di dalam negeri'],['tasikmalaya'],['19'],['pekerja umum'],['tasikmalaya'],[]
84,['2002-03-27'],['l'],['2021-11-16'],['cipedes'],['sma / lainnya'],['mipa'],['2020.0'],['editing story maker'],['rp 2.500.001 - rp 5.000.000'],['pemilik perusahaan'],['di dalam negeri'],['bandung'],['19'],['bisnis/wirausaha'],['bandung'],['editing']
85,['2002-09-30'],['l'],['2021-11-16'],['cipedes'],['smk'],['teknik elektronika'],['2021.0'],['futsal'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['jawa barat'],['19'],['produksi/operasional'],['jawa barat'],['futsal']
86,['2002-09-20'],['l'],['2021-11-16'],['tamansari'],['smk'],['otomotif'],['2001.0'],['sepak bola'],['rp 1.000.001 - rp 2.500.000'],['akuntan'],['di dalam negeri'],['tasikmalaya'],['19'],['keuangan/akuntansi/perbankan'],['tasikmalaya'],['sepak bola']
87,['1991-09-12'],['l'],['2021-11-16'],['cipedes'],['smk'],['otomotif'],['2011.0'],['olahraga'],['0 - rp 1.000.000'],['karyawan'],['di dalam negeri'],['jawa barat'],['30'],['pekerja umum'],['jawa barat'],['olahraga']
88,['1999-07-20'],['p'],['2021-11-16'],['cihideung'],['sma / lainnya'],['ips'],['2018.0'],[],['0 - rp 1.000.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['22'],['lain-lain'],['tasikmalaya'],[]
89,['1999-08-03'],['l'],['2021-11-16'],['kawalu'],['s1'],['keperawatan'],['2021.0'],['olahraga voli'],['rp 2.500.001 - rp 5.000.000'],['kesehatan'],['di dalam negeri'],['seluruh indonesia'],['22'],['tenaga kesehatan (umum)'],['indonesia'],"['bola voli', 'olahraga']"
90,['1998-02-22'],['p'],['2021-11-16'],['indihiang'],['d.iii'],['sistem informasi'],['2021.0'],['public speaking'],['0 - rp 1.000.000'],['staff admin'],['di dalam negeri'],['tasikmalaya'],['23'],['administrasi/staf umum'],['tasikmalaya'],['public speaking']
91,['1999-06-07'],['p'],['2021-11-16'],['tawang'],['d.iii'],['sistem informasi'],['2021.0'],['badminton'],['rp 1.000.001 - rp 2.500.000'],['staff admin'],['di dalam negeri'],['tasikmalaya'],['22'],['administrasi/staf umum'],['tasikmalaya'],['badminton']
92,['1997-09-22'],['l'],['2021-11-16'],['cihideung'],['smk'],['otomotif'],['2016.0'],['futsal'],['0 - rp 1.000.000'],['jadi bos'],['di dalam negeri'],['tasikmalaya'],['24'],['manajemen/direksi'],['tasikmalaya'],['futsal']
93,['2003-03-17'],['l'],['2021-11-17'],['mangkubumi'],['sma / lainnya'],['ips'],['2021.0'],[],['0 - rp 1.000.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['18'],['lain-lain'],['tasikmalaya'],[]
94,['1991-09-03'],['l'],['2021-11-17'],['tawang'],['smk'],['otomotif'],['2010.0'],['sepakbola'],['0 - rp 1.000.000'],['akuntansi'],['di dalam negeri'],['tasikmalaya'],['30'],['keuangan/akuntansi/perbankan'],['tasikmalaya'],['sepak bola']
95,['2002-04-10'],['l'],['2021-11-17'],['mangkubumi'],['smk'],['pertanian'],['2021.0'],[],['> rp 10.000.000'],['karyawan'],['di dalam negeri'],['banten'],['19'],['pekerja umum'],['banten'],[]
96,['2002-08-09'],['l'],['2021-11-17'],['indihiang'],['smk'],['teknik kendaraan ringan'],['2021.0'],['pencaksilat'],['rp 5.000.001 - rp 10.000.000'],['manager'],['di dalam negeri'],['luar kota'],['19'],['manajemen/direksi'],['lokasi tidak spesifik'],['bela diri']
