original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
12730,['2006-12-30'],['l'],['2025-05-16'],['kawalu'],['smk'],['teknik sepeda motor'],['2025.0'],[],['rp 2.500.001 - rp 5.000.000'],['mekanik'],['di dalam negeri'],['jawa barat'],['18'],['teknisi/maintenance'],['jawa barat'],[]
12731,['2006-10-27'],['l'],['2025-05-15'],['mangkubumi'],['smk'],['teknik sepeda motor'],['2025.0'],[],['rp 2.500.001 - rp 5.000.000'],['staf manager gudang'],['di dalam negeri'],['karawang'],['18'],['logistik/gudang'],['karawang'],[]
12732,['2007-01-10'],['p'],['2025-05-15'],['cipedes'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['-'],['rp 1.000.001 - rp 2.500.000'],['-'],['di dalam negeri'],['kota tasikmalaya'],['18'],[],['kota tasikmalaya'],[]
12733,['2006-08-12'],['p'],['2025-05-15'],['cipedes'],['smk'],['teknik komputer jaringan'],['2025.0'],['publik speaking'],['rp 5.000.001 - rp 10.000.000'],['guru'],['di dalam negeri'],"['tasikmalaya,bandung,tanggerang,karawang']",['18'],['pendidikan'],"['bandung', 'karawang', 'tangerang', 'tasikmalaya']",['public speaking']
12734,['2007-02-06'],['l'],['2025-05-15'],['purbaratu'],['smk'],['teknik sepeda motor'],['2025.0'],['olahraga futsal'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tanggerang'],['18'],['pekerja umum'],['tangerang'],"['futsal', 'olahraga']"
12735,['2006-06-30'],['p'],['2025-05-15'],['cibeureum'],['sma / lainnya'],['mipa'],['2025.0'],['olahraga badminton'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tangerang dan sekitarnya'],['18'],['pekerja umum'],['tangerang'],"['badminton', 'olahraga']"
12736,['2006-09-27'],['p'],['2025-05-15'],['tamansari'],['smk'],['akuntansi'],['2025.0'],"['memecahkan masalah, belajar mandiri, adaptasi, kreativitas']",['rp 5.000.001 - rp 10.000.000'],"['akuntan,administrasi']",['di dalam negeri'],['bekasi'],['18'],['keuangan/akuntansi/perbankan'],['bekasi'],"['kemampuan adaptasi', 'kemauan belajar', 'kreativitas']"
12737,['2006-09-27'],['p'],['2025-05-15'],['tamansari'],['smk'],['akuntansi'],['2025.0'],"['memecahkan masalah, belajar mandiri, adaptasi, kreativitas']",['rp 5.000.001 - rp 10.000.000'],"['akuntan,administrasi']",['di dalam negeri'],['bekasi'],['18'],['administrasi/staf umum'],['bekasi'],"['kemampuan adaptasi', 'kemauan belajar', 'kreativitas']"
12738,['2007-12-14'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik sepeda motor'],['2025.0'],"['otomotif,bangunan,angkat beban']",['rp 5.000.001 - rp 10.000.000'],['ceo'],['di dalam negeri'],"['karawang,bali,bandung,bekasi,jakarta']",['17'],['manajemen/direksi'],"['bali', 'bandung', 'bekasi', 'jakarta', 'karawang']",['otomotif']
12739,['2006-12-28'],['p'],['2025-05-16'],['kawalu'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['public speaking'],['rp 1.000.001 - rp 2.500.000'],['karyawan'],['di dalam negeri'],['tasikmalaya'],['18'],['pekerja umum'],['tasikmalaya'],['public speaking']
